FILM,RottenTomatoes,IMDB
Avengers: Age of Ultron (2015),74,7.8
Cinderella (2015),85,7.1
Ant-Man (2015),80,7.8
Do You Believe? (2015),18,5.4
Hot Tub Time Machine 2 (2015),14,5.1
The Water Diviner (2015),63,7.2
Irrational Man (2015),42,6.9
Top Five (2014),86,6.5
Shaun the Sheep Movie (2015),99,7.4
Love & Mercy (2015),89,7.8
Far From The Madding Crowd (2015),84,7.2
Black Sea (2015),82,6.4
Leviathan (2014),99,7.7
Unbroken (2014),51,7.2
The Imitation Game (2014),90,8.1
Taken 3 (2015),9,6.1
Ted 2 (2015),46,6.6
Southpaw (2015),59,7.8
Night at the Museum: Secret of the Tomb (2014),50,6.3
Pixels (2015),17,5.6
"McFarland, USA (2015)",79,7.5
Insidious: Chapter 3 (2015),59,6.3
The Man From U.N.C.L.E. (2015),68,7.6
Run All Night (2015),60,6.6
Trainwreck (2015),85,6.7
Selma (2014),99,7.5
Ex Machina (2015),92,7.7
Still Alice (2015),88,7.5
Wild Tales (2014),96,8.2
The End of the Tour (2015),92,7.9
Red Army (2015),96,7.7
When Marnie Was There (2015),89,7.8
The Hunting Ground (2015),92,7.5
The Boy Next Door (2015),10,4.6
Aloha (2015),19,5.5
The Loft (2015),11,6.3
5 Flights Up (2015),52,6.1
Welcome to Me (2015),71,5.9
Saint Laurent (2015),51,6.3
Maps to the Stars (2015),60,6.3
I'll See You In My Dreams (2015),94,6.9
Timbuktu (2015),99,7.2
About Elly (2015),97,8.2
The Diary of a Teenage Girl (2015),95,7.0
Kingsman: The Secret Service (2015),75,7.8
Tomorrowland (2015),50,6.6
The Divergent Series: Insurgent (2015),30,6.4
Annie (2014),27,5.2
Fantastic Four (2015),9,4.0
Terminator Genisys (2015),26,6.9
Pitch Perfect 2 (2015),67,6.7
Entourage (2015),32,7.1
The Age of Adaline (2015),54,7.3
Hot Pursuit (2015),8,4.9
The DUFF (2015),71,6.6
Black or White (2015),39,6.6
Project Almanac (2015),34,6.4
Ricki and the Flash (2015),64,6.2
Seventh Son (2015),12,5.5
Mortdecai (2015),12,5.5
Unfinished Business (2015),11,5.4
American Ultra (2015),46,6.5
True Story (2015),45,6.3
Child 44 (2015),26,6.4
Dark Places (2015),26,6.3
Birdman (2014),92,7.9
The Gift (2015),93,7.6
Unfriended (2015),60,5.9
Monkey Kingdom (2015),94,7.3
Mr. Turner (2014),98,6.9
Seymour: An Introduction (2015),100,7.7
The Wrecking Crew (2015),93,7.8
American Sniper (2015),72,7.4
Furious 7 (2015),81,7.4
The Hobbit: The Battle of the Five Armies (2014),61,7.5
San Andreas (2015),50,6.5
Straight Outta Compton (2015),90,8.4
Vacation (2015),27,6.3
Chappie (2015),30,7.0
Poltergeist (2015),31,5.0
Paper Towns (2015),55,6.9
Big Eyes (2014),72,7.0
Blackhat (2015),34,5.4
Self/less (2015),20,6.6
Sinister 2 (2015),13,5.5
Little Boy (2015),20,7.4
Me and Earl and The Dying Girl (2015),81,8.2
Maggie (2015),54,5.6
Mad Max: Fury Road (2015),97,8.3
Spy (2015),93,7.3
The SpongeBob Movie: Sponge Out of Water (2015),78,6.1
Paddington (2015),98,7.2
Dope (2015),87,7.5
What We Do in the Shadows (2015),96,7.6
The Overnight (2015),82,6.9
The Salt of the Earth (2015),96,8.4
Song of the Sea (2014),99,8.2
Fifty Shades of Grey (2015),25,4.2
Get Hard (2015),29,6.1
Focus (2015),57,6.6
Jupiter Ascending (2015),26,5.5
The Gallows (2015),16,4.4
The Second Best Exotic Marigold Hotel (2015),62,6.6
Strange Magic (2015),17,5.7
The Gunman (2015),17,5.8
Hitman: Agent 47 (2015),7,5.9
Cake (2015),49,6.5
The Vatican Tapes (2015),13,4.6
A Little Chaos (2015),40,6.4
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,7.1
Escobar: Paradise Lost (2015),52,6.6
Into the Woods (2014),71,6.0
It Follows (2015),96,6.9
Inherent Vice (2014),73,6.7
A Most Violent Year (2014),90,7.1
While We're Young (2015),83,6.4
Clouds of Sils Maria (2015),89,6.8
Testament of Youth (2015),81,7.3
Infinitely Polar Bear (2015),80,7.2
Phoenix (2015),99,7.2
The Wolfpack (2015),84,7.1
The Stanford Prison Experiment (2015),84,7.1
Tangerine (2015),95,7.4
Magic Mike XXL (2015),62,6.3
Home (2015),45,6.7
The Wedding Ringer (2015),27,6.7
Woman in Gold (2015),52,7.4
The Last Five Years (2015),60,6.0
Mission: Impossible â€“ Rogue Nation (2015),92,7.8
Amy (2015),97,8.0
Jurassic World (2015),71,7.3
Minions (2015),54,6.7
Max (2015),35,7.0
Paul Blart: Mall Cop 2 (2015),5,4.3
The Longest Ride (2015),31,7.2
The Lazarus Effect (2015),14,5.2
The Woman In Black 2 Angel of Death (2015),22,4.9
Danny Collins (2015),77,7.1
Spare Parts (2015),52,7.2
Serena (2015),18,5.4
Inside Out (2015),98,8.6
Mr. Holmes (2015),87,7.4
'71 (2015),97,7.2
"Two Days, One Night (2014)",97,7.4
Gett: The Trial of Viviane Amsalem (2015),100,7.8
"Kumiko, The Treasure Hunter (2015)",87,6.7
