track,artist,danceability,energy,valence,tempo,previously_heard,liked
Wild Things,Alessia Cara,0.741,0.626,0.706,108.029,Haven't Heard,Like
Love Someone,Lukas Graham,0.55,0.415,0.27399999999999997,172.065,Heard,Like
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,0.807,0.887,0.78,160.517,Heard,Dislike
Here's To Never Growing Up,Avril Lavigne,0.48200000000000004,0.873,0.737,165.084,Haven't Heard,Like
Helluva Night,Ludacris,0.736,0.522,0.369,97.54700000000001,Haven't Heard,Like
My Last,Big Sean Featuring Chris Brown,0.387,0.773,0.368,78.62899999999998,Haven't Heard,Like
Break Up In The End,Cole Swindell,0.507,0.3720000000000001,0.257,86.42200000000004,Haven't Heard,Dislike
Crawling Back To You,Daughtry,0.43799999999999994,0.919,0.195,151.026,Heard,Like
Hotline Bling,Drake,0.8909999999999999,0.625,0.5479999999999999,134.967,Heard,Like
Cut Her Off,KCamp Featuring 2 Chainz,0.769,0.611,0.0901,144.037,Haven't Heard,Like
Beautiful People,Chris Brown Featuring Benny Benassi,0.41700000000000004,0.8059999999999999,0.545,127.887,Haven't Heard,Dislike
Survival,Eminem,0.45899999999999996,0.899,0.4370000000000001,176.38400000000001,Heard,Like
Faster,Matt Nathanson,0.742,0.853,0.95,107.03,Haven't Heard,Like
Sugar,Robin Schulz Featuring Francesco Yates,0.636,0.815,0.636,123.06299999999999,Heard,Like
Love Don't Run,Steve Holy,0.512,0.532,0.256,147.47299999999996,Haven't Heard,Dislike
Lockjaw,French Montana Featuring Kodak Black,0.615,0.648,0.26,169.912,Haven't Heard,Like
You Should See Me In A Crown,Billie Eilish,0.6779999999999999,0.5329999999999999,0.32299999999999995,150.455,Haven't Heard,Dislike
Swish Swish,Katy Perry Featuring Nicki Minaj,0.8390000000000001,0.705,0.575,119.954,Haven't Heard,Like
Hot Tottie,Usher Featuring Jay-Z,0.654,0.866,0.669,87.525,Haven't Heard,Dislike
Raise Your Glass,P!nk,0.7,0.7090000000000001,0.625,122.01899999999999,Heard,Like
Mr. Misunderstood,Eric Church,0.385,0.8079999999999999,0.546,129.22,Haven't Heard,Like
Rolex,Ayo & Teo,0.804,0.8859999999999999,0.789,144.946,Haven't Heard,Like
B**** I'm Madonna,Madonna Featuring Nicki Minaj,0.733,0.612,0.5529999999999999,149.999,Haven't Heard,Dislike
Good Feeling,Flo Rida,0.706,0.89,0.684,128.011,Heard,Dislike
