NO,NO_2
2.4849066497880004,34
3.332204510175204,61
1.9459101490553132,22
2.8903717578961645,47
2.6390573296152584,64
4.634728988229636,71
2.0794415416798357,57
4.394449154672439,80
3.258096538021482,53
2.1972245773362196,58
1.9459101490553132,20
4.189654742026425,48
3.4965075614664802,60
4.1588830833596715,103
3.58351893845611,75
1.791759469228055,37
1.6094379124341003,34
2.4849066497880004,84
4.02535169073515,60
2.5649493574615367,35
1.6094379124341003,31
3.091042453358316,68
2.833213344056216,47
1.6094379124341003,19
2.833213344056216,44
2.4849066497880004,24
1.6094379124341003,44
3.4011973816621555,53
1.9459101490553132,42
4.356708826689592,80
2.995732273553991,53
4.477336814478207,80
2.1972245773362196,51
3.58351893845611,44
2.772588722239781,48
3.9318256327243257,96
1.6094379124341003,19
3.912023005428146,62
3.7612001156935624,66
2.3978952727983707,38
4.02535169073515,57
3.4339872044851463,63
4.442651256490317,71
2.5649493574615367,28
3.4657359027997265,66
2.5649493574615367,35
3.258096538021482,46
2.1972245773362196,23
2.6390573296152584,43
3.258096538021482,71
2.0794415416798357,42
2.3978952727983707,43
1.6094379124341003,38
2.3978952727983707,57
3.4657359027997265,65
3.044522437723423,44
4.02535169073515,64
3.1780538303479458,46
2.4849066497880004,21
3.044522437723423,47
2.6390573296152584,54
1.791759469228055,46
1.791759469228055,30
3.091042453358316,58
2.995732273553991,60
2.70805020110221,32
3.2188758248682006,77
1.791759469228055,33
1.6094379124341003,37
4.852030263919617,73
2.5649493574615367,36
2.8903717578961645,50
3.091042453358316,47
3.6109179126442243,70
2.4849066497880004,48
4.1588830833596715,82
1.9459101490553132,51
3.6635616461296463,59
2.1972245773362196,58
2.6390573296152584,46
2.9444389791664403,27
1.6094379124341003,36
1.6094379124341003,15
1.9459101490553132,21
2.833213344056216,56
3.2188758248682006,79
2.6390573296152584,86
3.332204510175204,90
2.833213344056216,50
1.6094379124341003,24
2.5649493574615367,21
3.9318256327243257,57
2.833213344056216,63
3.258096538021482,53
2.772588722239781,36
4.330733340286331,58
3.6635616461296463,59
4.6443908991413725,112
2.8903717578961645,50
