ID,REGION,DIVISION,STATE,LOG FAMILY INCOME DOLLARS,HOUSEHOLD LANGUAGE,LOG HOUSEHOLD INCOME DOLLARS,LIMITED ENGLISH SPEAKING,WORKERS IN FAMILY,PERSONS IN FAMILY
2009000089236,South,East South Central,1,Non-Family,English only,9.81,False,Non-Family,Non-Family
2009000311177,South,East South Central,1,10.44,English only,10.44,False,1,2
2009000426047,South,East South Central,1,Non-Family,English only,9.88,False,Non-Family,Non-Family
2009000448671,South,East South Central,1,Non-Family,English only,11.53,False,Non-Family,Non-Family
2009000523654,South,East South Central,1,Non-Family,English only,10.12,False,Non-Family,Non-Family
2009000742214,South,East South Central,1,12.37,English only,12.37,False,1,2
2009001335518,South,East South Central,1,11.15,English only,11.15,False,3+,3
2010000145521,South,East South Central,1,10.11,English only,10.11,False,0,4
2010000560424,South,East South Central,1,11.78,English only,11.78,False,2,3
2010000853150,South,East South Central,1,Non-Family,English only,11.69,False,Non-Family,Non-Family
2010001045405,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000477680,South,East South Central,1,9.38,English only,11.4,False,0,3
2011000659682,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000735997,South,East South Central,1,12.65,English only,12.65,False,1,2
2012000023613,South,East South Central,1,12.22,Spanish,12.22,False,1,2
2012000406273,South,East South Central,1,9.71,English only,9.71,False,0,4
2012000950243,South,East South Central,1,Non-Family,English only,9.83,False,Non-Family,Non-Family
2012001194372,South,East South Central,1,Non-Family,English only,10.21,False,Non-Family,Non-Family
2012001247410,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000385931,South,East South Central,1,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000754626,South,East South Central,1,Non-Family,English only,0,False,Non-Family,Non-Family
2013000938302,South,East South Central,1,10.62,English only,10.9,False,2,2
2010000709910,West,Pacific,2,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000809154,West,Pacific,2,9.85,Other,9.85,False,0,5
2012000139973,West,Pacific,2,Non-Family,English only,11.1,False,Non-Family,Non-Family
2009000272096,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000464351,West,Mountain,4,12.18,English only,12.18,False,1,6
2009000674253,West,Mountain,4,Non-Family,Spanish,11.87,True,Non-Family,Non-Family
2009001228662,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000577930,West,Mountain,4,12.92,English only,12.92,False,2,2
2010000920682,West,Mountain,4,11.29,Spanish,11.29,False,1,4
2010000993132,West,Mountain,4,11.13,English only,11.18,False,2,2
2010001287101,West,Mountain,4,Non-Family,English only,10.71,False,Non-Family,Non-Family
2011000117544,West,Mountain,4,10.58,English only,10.58,False,0,2
2011000560023,West,Mountain,4,12.11,English only,12.11,False,2,2
2011000615594,West,Mountain,4,Non-Family,English only,11.11,False,Non-Family,Non-Family
2011000930125,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000305692,West,Mountain,4,Non-Family,English only,10.69,False,Non-Family,Non-Family
2012000751903,West,Mountain,4,11.57,English only,11.57,False,0,2
2012001116118,West,Mountain,4,11.8,English only,11.8,False,1,4
2012001431375,West,Mountain,4,9.81,English only,9.81,False,2,4
2013000145612,West,Mountain,4,Non-Family,English only,10.54,False,Non-Family,Non-Family
2013000196018,West,Mountain,4,12.47,English only,12.47,False,3+,3
2013000501229,West,Mountain,4,Non-Family,English only,12.82,False,Non-Family,Non-Family
2013001077630,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001242982,West,Mountain,4,11.05,English only,11.07,False,2,2
2013001276229,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001279169,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013001325629,West,Mountain,4,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000138591,South,West South Central,5,11.29,English only,11.29,False,2,2
2009000234689,South,West South Central,5,11.03,English only,11.03,False,1,2
2009000736103,South,West South Central,5,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001164727,South,West South Central,5,10.33,English only,10.33,False,2,2
2011000034575,South,West South Central,5,Non-Family,English only,11.8,False,Non-Family,Non-Family
2012000371696,South,West South Central,5,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000699707,South,West South Central,5,Non-Family,English only,10.81,False,Non-Family,Non-Family
2013000894254,South,West South Central,5,Non-Family,English only,9.42,False,Non-Family,Non-Family
2013000947774,South,West South Central,5,11.09,English only,11.09,False,1,4
2013001400970,South,West South Central,5,Non-Family,English only,11.35,False,Non-Family,Non-Family
2009000050702,West,Pacific,6,Non-Family,English only,10.78,False,Non-Family,Non-Family
2009000052999,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000093986,West,Pacific,6,Non-Family,Spanish,0,True,Non-Family,Non-Family
2009000127731,West,Pacific,6,13.4,Other Indo-European,13.4,False,1,2
2009000204532,West,Pacific,6,11.61,Spanish,11.61,False,2,3
2009000240181,West,Pacific,6,12.5,Other Indo-European,12.5,False,1,6
2009000257636,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000396337,West,Pacific,6,Non-Family,Spanish,9.67,False,Non-Family,Non-Family
2009000539526,West,Pacific,6,11.42,English only,11.42,False,1,4
2009000573768,West,Pacific,6,10.75,Asian and Pacific Island,10.75,True,0,3
2009000633377,West,Pacific,6,Non-Family,English only,12.32,False,Non-Family,Non-Family
2009000685823,West,Pacific,6,Non-Family,English only,9.25,False,Non-Family,Non-Family
2009000788042,West,Pacific,6,13.03,Spanish,13.03,False,3+,5
2009000841498,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000880261,West,Pacific,6,12.62,Spanish,12.62,False,1,3
2009000882530,West,Pacific,6,11.23,English only,11.23,False,0,2
2009000907604,West,Pacific,6,12.05,English only,12.05,False,2,3
2009000939726,West,Pacific,6,12.5,English only,12.5,False,2,2
2009000950644,West,Pacific,6,12.32,English only,12.32,False,2,2
2009001075956,West,Pacific,6,10.75,Spanish,10.75,True,1,4
2009001140838,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001147802,West,Pacific,6,0,Spanish,0,True,0,4
2009001252347,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009001379536,West,Pacific,6,Non-Family,English only,11.59,False,Non-Family,Non-Family
2009001386199,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000033026,West,Pacific,6,10.49,English only,10.49,False,0,2
2010000070396,West,Pacific,6,13.24,English only,13.24,False,1,3
2010000081788,West,Pacific,6,11.05,Spanish,11.05,False,2,7
2010000126011,West,Pacific,6,Non-Family,English only,10.11,False,Non-Family,Non-Family
2010000171705,West,Pacific,6,Non-Family,Spanish,11.35,True,Non-Family,Non-Family
2010000255658,West,Pacific,6,12.59,English only,12.59,False,2,5
2010000287215,West,Pacific,6,12.12,English only,12.12,False,2,2
2010000291864,West,Pacific,6,11.94,English only,11.94,False,1,2
2010000363420,West,Pacific,6,11.25,English only,11.25,False,0,2
2010000390308,West,Pacific,6,10.77,English only,10.77,False,2,3
2010000503986,West,Pacific,6,12.69,Spanish,12.69,False,2,2
2010000531302,West,Pacific,6,12.16,Other Indo-European,12.16,False,2,2
2010000566354,West,Pacific,6,Non-Family,English only,13.27,False,Non-Family,Non-Family
2010000615452,West,Pacific,6,11.86,English only,11.86,False,1,4
2010000639129,West,Pacific,6,10.86,English only,10.86,False,0,2
2010000640301,West,Pacific,6,12.55,Spanish,12.55,False,3+,12
2010000708054,West,Pacific,6,13.48,English only,13.48,False,1,2
2010000820177,West,Pacific,6,Non-Family,English only,11.53,False,Non-Family,Non-Family
2010000904103,West,Pacific,6,Non-Family,English only,12.39,False,Non-Family,Non-Family
2010001086467,West,Pacific,6,Non-Family,English only,10.86,False,Non-Family,Non-Family
2010001143170,West,Pacific,6,12.63,English only,12.63,False,1,4
2010001213705,West,Pacific,6,12.84,English only,12.84,False,1,4
2010001276755,West,Pacific,6,11.46,Spanish,11.73,True,2,4
2010001283973,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010001305717,West,Pacific,6,11.2,English only,11.2,False,2,2
2010001345132,West,Pacific,6,11.58,English only,11.58,False,2,3
2010001396542,West,Pacific,6,11.09,Other Indo-European,11.09,False,1,6
2010001402014,West,Pacific,6,Non-Family,Other Indo-European,13.02,False,Non-Family,Non-Family
2011000025453,West,Pacific,6,11.77,English only,11.77,False,0,2
2011000095242,West,Pacific,6,12.64,Spanish,12.64,False,2,3
2011000100792,West,Pacific,6,Non-Family,English only,0,False,Non-Family,Non-Family
2011000143691,West,Pacific,6,11.76,English only,11.76,False,0,2
2011000192343,West,Pacific,6,12.92,English only,12.92,False,3+,4
2011000277715,West,Pacific,6,10.72,Spanish,10.72,True,0,2
2011000288190,West,Pacific,6,Non-Family,English only,11.19,False,Non-Family,Non-Family
2011000414068,West,Pacific,6,12.35,Asian and Pacific Island,12.35,False,3+,4
2011000421562,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000469767,West,Pacific,6,Non-Family,English only,11.49,False,Non-Family,Non-Family
2011000485037,West,Pacific,6,Non-Family,English only,7.53,False,Non-Family,Non-Family
2011000486565,West,Pacific,6,12.16,English only,12.16,False,2,3
2011000538626,West,Pacific,6,Non-Family,Spanish,10.72,True,Non-Family,Non-Family
2011000618548,West,Pacific,6,10.13,Spanish,10.13,False,2,7
2011000648841,West,Pacific,6,Non-Family,English only,10.06,False,Non-Family,Non-Family
2011000661393,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000694250,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000694442,West,Pacific,6,10.42,English only,10.42,False,1,4
2011000714683,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000717815,West,Pacific,6,Non-Family,English only,10.19,False,Non-Family,Non-Family
2011000834162,West,Pacific,6,9.38,English only,9.38,False,0,3
2011000899871,West,Pacific,6,13.06,Other,13.06,False,0,2
2011000927015,West,Pacific,6,Non-Family,Asian and Pacific Island,10.74,False,Non-Family,Non-Family
2011000947617,West,Pacific,6,Non-Family,English only,12.87,False,Non-Family,Non-Family
2011000962318,West,Pacific,6,12.46,English only,12.46,False,2,2
2011000964339,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000968918,West,Pacific,6,Non-Family,English only,0,False,Non-Family,Non-Family
2011001059818,West,Pacific,6,Non-Family,English only,9.72,False,Non-Family,Non-Family
2011001081997,West,Pacific,6,10.92,Other Indo-European,10.92,False,1,4
2011001137431,West,Pacific,6,13.61,Other,13.61,False,1,2
2011001150671,West,Pacific,6,11.43,English only,11.43,False,2,3
2011001208517,West,Pacific,6,12.28,English only,12.28,False,2,2
2011001232579,West,Pacific,6,10.44,Asian and Pacific Island,10.44,True,1,2
2011001270089,West,Pacific,6,12.41,English only,12.41,False,2,4
2011001312138,West,Pacific,6,12.99,Asian and Pacific Island,12.99,False,1,4
2011001344688,West,Pacific,6,12.45,English only,12.45,False,3+,3
2011001455941,West,Pacific,6,11.62,English only,11.62,False,0,2
2011001468475,West,Pacific,6,Non-Family,English only,10.49,False,Non-Family,Non-Family
2012000031233,West,Pacific,6,11.82,Spanish,11.82,False,2,2
2012000086919,West,Pacific,6,12.0,Spanish,12.0,True,3+,5
2012000102148,West,Pacific,6,9.7,Asian and Pacific Island,9.7,True,1,6
2012000102482,West,Pacific,6,Non-Family,Asian and Pacific Island,10.92,True,Non-Family,Non-Family
2012000108872,West,Pacific,6,10.48,Spanish,10.48,False,2,3
2012000169429,West,Pacific,6,Non-Family,Spanish,10.96,False,Non-Family,Non-Family
2012000175084,West,Pacific,6,12.83,Other Indo-European,12.83,False,2,3
2012000178018,West,Pacific,6,12.31,Spanish,12.31,False,2,2
2012000299456,West,Pacific,6,11.77,English only,11.77,False,2,2
2012000334630,West,Pacific,6,Non-Family,English only,11.05,False,Non-Family,Non-Family
2012000354174,West,Pacific,6,12.08,English only,12.08,False,1,2
2012000381466,West,Pacific,6,Non-Family,English only,10.5,False,Non-Family,Non-Family
2012000449894,West,Pacific,6,Non-Family,English only,11.09,False,Non-Family,Non-Family
2012000499030,West,Pacific,6,13.49,English only,13.49,False,2,4
2012000552909,West,Pacific,6,10.15,English only,10.15,False,1,6
2012000621916,West,Pacific,6,11.29,Spanish,11.29,False,1,4
2012000622881,West,Pacific,6,9.75,English only,9.75,False,1,2
2012000676798,West,Pacific,6,13.23,English only,13.23,False,1,2
2012000775206,West,Pacific,6,11.29,English only,11.29,False,0,2
