id,name,host_id,host_name,host_since,host_is_superhost,neighbourhood,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,is_business_travel_ready,calculated_host_listings_count,reviews_per_month,neighborhood
22208070,San Francisco (1 bedroom condo)(Union Square),100238132,Michael,2016-10-18,t,Downtown,94109,37.78836,-122.4121,t,Condominium,Entire home/apt,4,1.0,1.0,2.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Self check-in', 'Building staff', 'Private living room', 'Private entrance', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Luggage dropoff allowed']",99.0,3,1125,0,0,7,263,51,2018-05-20,2020-02-29,f,f,21,2.04,South of Market
1212746,Big Flat/3 BR/2-Bath/Great District/Near Subway,1237762,Myles,2011-10-02,t,The Castro,94114,37.76018,-122.4402,t,Apartment,Entire home/apt,8,2.0,3.0,6.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free street parking', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Self check-in', 'Smart lock', 'Bathtub', 'Fireplace guards', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Garden or backyard', 'Luggage dropoff allowed', 'Wide hallways', 'Well-lit path to entrance']",150.0,3,29,29,59,89,179,101,2013-07-29,2020-02-28,f,f,2,1.21,Castro/Upper Market
10103881,CONDO 2 BEDROOM AMAZING VIEWS!!,23918094,Nadine,2014-11-19,t,SoMa,94105,37.7836,-122.39862,t,Condominium,Entire home/apt,4,2.0,2.0,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Heating', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Bathtub', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Luggage dropoff allowed', 'Long term stays allowed']",150.0,31,180,29,59,89,364,17,2016-02-19,2019-05-05,t,f,1,0.32,South of Market
4880695,Large house with 5 'real' bedrms!,25108613,Peter,2014-12-22,f,Crocker Amazon,94112,37.71161,-122.43761,t,House,Entire home/apt,12,1.0,5.0,7.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Pets allowed', 'Free street parking', 'Indoor fireplace', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Self check-in', 'Lockbox', 'Private entrance', 'Bathtub', 'Children’s books and toys', 'Fireplace guards', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed']",255.0,3,365,30,60,90,365,40,2015-01-06,2020-01-19,f,f,1,0.61,Outer Mission
9462355,"4 beds & 2 baths, Top Fl. Alamo Sq, 30 days",48972017,June,2015-11-13,f,Western Addition/NOPA,94117,37.776579999999996,-122.43663000000001,t,Apartment,Entire home/apt,6,2.0,4.0,5.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Private entrance', 'Hot water', 'Bed linens', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Shower gel', 'Trash can']",170.0,30,30,30,60,90,365,9,2016-06-25,2018-07-22,f,f,3,0.19,Western Addition
25189704,GG Park Sunny Spacious Private Rm-UCSF/Irving,62034618,Ting Ting,2016-03-07,f,Outer Sunset,94122,37.764829999999996,-122.47878999999999,t,Apartment,Private room,4,1.0,1.0,2.0,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop-friendly workspace', 'Self check-in', 'Keypad', 'Private entrance', 'Hot water', 'Microwave', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Oven', 'Stove', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout']",50.0,30,270,30,60,90,365,3,2018-08-14,2020-01-31,f,f,11,0.14,Sunset/Parkside
30150548,Sonder | Venue Suites | Modern 1BR + Fitness Room,219930816,Sonder (San Francisco),2018-10-10,f,Mission Bay,94158,37.77361,-122.39048000000001,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Pets allowed', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace', 'Private living room', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",138.0,30,1125,0,0,0,0,1,2019-09-14,2019-09-14,t,f,102,0.11,Mission Bay
6516295,Spacious SOMA Loft w/ Parking,34074805,Eriem,2015-05-23,f,SoMa,94103,37.77248,-122.4078,t,Loft,Entire home/apt,4,1.5,1.0,2.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop-friendly workspace']",100.0,30,1125,0,0,0,0,4,2016-03-31,2016-07-29,f,f,1,0.08,South of Market
12750864,Parc Telegraph Studio Condo,49785728,Larry,2015-11-24,f,Telegraph Hill,94111,37.80437,-122.40588999999999,t,Condominium,Entire home/apt,2,1.0,0.0,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', '24-hour check-in']",100.0,60,1125,30,60,90,180,1,2016-05-19,2016-05-19,t,f,1,0.02,North Beach
28841178,Black&Red bedroom with two beds and private bath,210724668,Peter,2018-08-20,t,Pacific Heights,94109,37.79125,-122.4247,t,House,Private room,4,1.0,1.0,2.0,"['TV', 'Wifi', 'Heating', 'Washer', 'Dryer', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Private entrance', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Garden or backyard']",50.0,3,90,25,34,56,326,41,2018-10-17,2020-02-27,f,f,5,2.05,Pacific Heights
