listing_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
958,97.0,10.0,10.0,10.0,10.0,10.0,10.0
8142,93.0,9.0,9.0,10.0,10.0,9.0,9.0
8739,98.0,10.0,10.0,10.0,10.0,10.0,9.0
12522,98.0,10.0,10.0,10.0,10.0,10.0,10.0
12584,95.0,9.0,10.0,9.0,9.0,9.0,9.0
23630,98.0,10.0,10.0,10.0,10.0,10.0,10.0
25094,100.0,10.0,10.0,10.0,10.0,10.0,10.0
25463,98.0,10.0,10.0,10.0,10.0,10.0,10.0
25662,95.0,10.0,9.0,10.0,10.0,10.0,9.0
26408,91.0,9.0,8.0,9.0,9.0,9.0,9.0
27028,96.0,10.0,10.0,10.0,10.0,10.0,9.0
29373,98.0,10.0,10.0,10.0,10.0,9.0,10.0
33578,99.0,10.0,10.0,10.0,10.0,10.0,10.0
39174,95.0,9.0,10.0,10.0,10.0,10.0,9.0
40138,96.0,10.0,9.0,10.0,10.0,10.0,9.0
42408,87.0,9.0,8.0,10.0,10.0,8.0,7.0
42577,80.0,5.0,8.0,10.0,8.0,7.0,8.0
44032,97.0,10.0,10.0,10.0,10.0,10.0,10.0
45299,94.0,10.0,9.0,10.0,10.0,10.0,9.0
45956,96.0,10.0,10.0,10.0,9.0,10.0,9.0
51773,92.0,10.0,9.0,10.0,10.0,10.0,9.0
53280,98.0,10.0,10.0,10.0,10.0,10.0,10.0
54518,88.0,10.0,9.0,10.0,9.0,10.0,10.0
55632,94.0,10.0,10.0,10.0,10.0,9.0,10.0
56621,93.0,10.0,9.0,10.0,10.0,10.0,9.0
57479,99.0,10.0,10.0,10.0,10.0,10.0,10.0
57676,94.0,9.0,9.0,9.0,9.0,10.0,9.0
59314,97.0,10.0,10.0,10.0,10.0,9.0,9.0
59702,98.0,10.0,10.0,10.0,10.0,10.0,10.0
62519,97.0,10.0,10.0,10.0,10.0,10.0,10.0
62651,96.0,10.0,10.0,10.0,10.0,10.0,9.0
66119,84.0,9.0,9.0,10.0,10.0,9.0,8.0
66664,79.0,8.0,8.0,9.0,10.0,9.0,8.0
69410,98.0,10.0,10.0,10.0,10.0,10.0,10.0
69549,89.0,9.0,9.0,10.0,9.0,9.0,9.0
70753,92.0,10.0,9.0,10.0,10.0,10.0,9.0
74451,96.0,9.0,9.0,10.0,10.0,10.0,9.0
